,bowRF,bowNB,tfRF,tfNB
0,54.71,57.58,54.12,55.05
1,54.46,57.07,53.87,53.96
2,56.57,59.26,57.49,56.06
3,54.04,58.42,53.96,54.46
4,56.31,60.1,56.31,58.75
5,51.94,56.14,52.61,54.29
6,53.03,58.25,55.39,54.55
7,52.86,54.8,52.36,50.0
8,53.7,60.61,53.79,57.83
9,57.07,60.94,56.82,57.58
10,56.14,58.5,57.15,53.96
11,54.12,56.82,53.96,55.13
12,55.81,60.1,56.65,56.4
13,54.97,57.58,54.88,54.55
14,53.11,56.82,53.2,53.96
15,53.2,58.25,55.56,53.03
16,54.04,59.93,56.06,54.88
17,58.33,59.18,56.73,55.22
18,55.89,59.18,56.4,54.38
19,54.88,58.92,54.38,55.13
20,54.38,57.24,56.06,55.22
21,55.81,59.85,55.81,54.71
22,57.66,60.27,57.32,57.58
23,54.63,58.84,54.04,55.22
24,56.48,58.75,55.13,54.21
25,55.98,61.28,54.29,57.32
26,55.05,58.33,55.81,55.13
27,56.31,59.01,53.7,56.48
28,54.12,58.16,55.64,52.36
29,55.56,59.85,54.29,56.57
30,55.56,57.58,56.23,53.96
31,54.97,59.68,57.83,57.91
32,55.56,58.16,55.39,53.62
33,52.27,55.13,51.6,53.03
34,57.41,59.68,55.64,57.49
35,56.4,59.01,56.14,56.06
36,56.31,59.09,54.71,55.13
37,56.48,57.49,55.89,54.88
38,56.9,57.49,53.28,56.14
39,52.78,55.56,50.25,49.66
40,54.55,58.42,57.07,56.06
41,52.95,56.4,54.38,51.77
42,56.57,57.49,54.63,55.98
43,55.22,60.44,56.23,58.08
44,55.13,59.51,57.24,55.05
45,53.54,57.15,55.22,52.27
46,55.89,59.34,55.22,54.8
47,55.39,58.75,55.89,56.82
48,52.95,59.34,54.04,54.21
49,56.06,59.26,55.13,56.06
50,59.51,59.43,56.23,56.14
51,51.68,56.9,53.96,54.55
52,55.39,60.02,54.55,54.55
53,57.49,56.48,55.56,55.81
54,53.62,56.65,53.87,54.21
55,52.53,56.57,53.87,54.88
56,55.39,58.67,55.98,55.3
57,55.64,59.09,53.45,55.72
58,55.47,59.09,54.8,56.73
59,54.55,57.24,56.9,53.37
60,54.63,59.18,56.23,56.82
61,56.99,57.74,54.38,55.22
62,56.14,59.51,55.72,56.06
63,56.31,58.59,58.59,55.72
64,56.23,56.4,54.55,54.21
65,55.81,57.74,56.4,55.13
66,54.8,57.32,55.3,53.62
67,57.15,58.42,57.49,55.3
68,55.72,57.24,52.69,54.04
69,54.12,58.16,54.97,54.04
70,55.22,56.99,52.27,55.39
71,56.06,59.01,56.82,56.31
72,54.55,58.08,52.86,55.56
73,55.98,60.44,55.98,57.58
74,54.63,58.75,53.79,55.3
75,57.15,57.32,56.06,53.11
76,58.84,58.75,57.32,56.9
77,55.39,59.93,56.4,56.99
78,53.62,56.06,52.95,52.86
79,53.79,60.44,56.73,57.32
80,55.89,57.91,55.05,52.44
81,52.61,58.08,52.86,54.04
82,53.28,57.07,52.95,55.3
83,54.04,59.09,54.88,55.05
84,56.23,58.5,56.14,55.47
85,54.71,58.33,56.65,56.31
86,56.31,56.31,54.04,53.87
87,55.22,57.32,56.06,54.97
88,52.86,57.41,52.53,55.05
89,55.3,57.58,52.95,53.03
90,55.98,58.5,56.65,56.31
91,54.21,57.83,55.89,52.44
92,52.95,56.57,53.79,53.87
93,55.05,60.35,54.12,57.07
94,56.99,59.18,56.9,55.05
95,53.2,60.52,58.42,57.15
96,55.64,56.82,52.53,54.12
97,53.7,59.01,55.56,54.88
98,53.62,59.18,53.54,55.64
99,55.98,58.92,54.46,55.64
